"","x"
"1",0.00325045548379421
"2",0.000867247581481934
"3",0.000327662564814091
"4",0.000980659388005733
"5",0.000380864366889
"6",0.000400026328861713
"7",3.35276126861572e-06
"8",0.000419886782765388
"9",7.02450051903725e-05
"10",0.00185112003237009
"11",0.000531645491719246
"12",0.00154988374561071
"13",0.000534532591700554
"14",0.000473088584840298
"15",0.00150378327816725
"16",3.9231963455677e-05
"17",0.000975141301751137
"18",0.00146441161632538
"19",0.000647362321615219
"20",0.00215377658605576
"21",0.00031827948987484
"22",0.000354391522705555
"23",0.0006137415766716
"24",0.00312004704028368
"25",0.00406231265515089
"26",0.00180818606168032
"27",0.00238115899264812
"28",0.000930111855268478
"29",0.00130366533994675
"30",0.000851578079164028
"31",0.000421819277107716
"32",0.000362889841198921
"33",0.000183749943971634
"34",0.000282656401395798
"35",4.07220795750618e-05
"36",9.13161784410477e-05
"37",0.00106527004390955
"38",0.00560751650482416
"39",0.00186217948794365
"40",0.000290037132799625
"41",0.00110429245978594
"42",0.000155204907059669
"43",1.4202669262886e-06
"44",0.00261992681771517
"45",2.90572643280029e-05
"46",0.000576046295464039
"47",0.000636698678135872
"48",0.00308975577354431
"49",0.0015483470633626
"50",0.00158541370183229
"51",0.00121647026389837
"52",0.000299070961773396
"53",0.00164229422807693
"54",0.000899168662726879
"55",0.000532623380422592
"56",0.000623171217739582
"57",0.00203629024326801
"58",0.0014203367754817
"59",0.000284775160253048
"60",0.00103435013443232
"61",0.000681309029459953
"62",0.0039353035390377
"63",0.00364382285624743
"64",0.000728992745280266
"65",0.00257825013250113
"66",0.0013681361451745
"67",0.00043108593672514
"68",0.000655860640108585
"69",0.000186380930244923
"70",0.000797491520643234
"71",0.000184262171387672
"72",0.000161398202180862
"73",0.00162620563060045
"74",0.00179631169885397
"75",0.000880449078977108
"76",0.000178487971425056
"77",0.000384706072509289
"78",0.000265892595052719
"79",0.000383867882192135
"80",0.000790436752140522
"81",0.000393670052289963
"82",0.000976887531578541
"83",0.000494252890348434
"84",0.00363453291356564
"85",0.000716350041329861
"86",0.000315532088279724
"87",0.000501354224979877
"88",0.00138366594910622
"89",0.000188359990715981
"90",0.00074517447501421
"91",0.000940030440688133
"92",0.000190013088285923
"93",0.00201831571757793
"94",0.000870088115334511
"95",0.00101777259260416
"96",0.0017994549125433
"97",0.0012093223631382
"98",0.00258400104939938
"99",0.000735791400074959
"100",0.000354228541254997
"101",0.00169863924384117
"102",0.000569759868085384
"103",0.000790227204561234
"104",0.00210353173315525
"105",0.000999285839498043
"106",0.000509060919284821
"107",0.00070005189627409
"108",0.000350037589669228
"109",0.000194902531802654
"110",0.00211568549275398
"111",1.59023329615593e-05
"112",0.00162580981850624
"113",0.000197929330170155
"114",0.00105046201497316
"115",0.000542914494872093
"116",0.00211994629353285
"117",0.00104436527951543
"118",9.64117421310695e-05
"119",0.00303252600133419
"120",0.000400329008698463
"121",0.000179000198841095
"122",0.000445591285824776
"123",0.000925268977880478
"124",0.000203913077712059
"125",0.000557326711714268
"126",0.00145535450428724
"127",0.00133418943732977
"128",0.000248686410486698
"129",0.000660819932818413
"130",0.000552693381905556
"131",0.00197931658476591
"132",0.000533554702997208
"133",0.000528432428836823
"134",0.00236514024436474
"135",0.000794604420661926
"136",0.00395134557038546
"137",0.00356803648173809
"138",0.000401446595788002
"139",0.00052738469094038
"140",0.000251107849180698
"141",0.00562155619263649
"142",0.00023767352104187
"143",5.14090061187744e-05
"144",1.58324837684631e-05
"145",0.000967178493738174
"146",0.00257950741797686
"147",0.000653322786092758
"148",0.000149430707097054
"149",0.00232204329222441
"150",7.46222212910652e-05
"151",0.000425870530307293
"152",0.000411109067499638
"153",0.000170245766639709
"154",0.000277976505458355
"155",0.000376114621758461
"156",0.00157353933900595
"157",0.000657979398965836
"158",0.000405125319957733
"159",0.0014154938980937
"160",0.00130250118672848
"161",0.00162206124514341
"162",0.000381399877369404
"163",0.00383760780096054
"164",0.00191361177712679
"165",6.38654455542564e-05
"166",0.000538048334419727
"167",0.000570365227758884
"168",0.000447686761617661
"169",0.00261163804680109
"170",0.000123074278235435
"171",0.000107567757368088
"172",0.00226330012083054
"173",0.000193598680198193
"174",1.97207555174828e-05
"175",6.92438334226608e-05
"176",0.000256882049143314
"177",0.00190716236829758
"178",0.00020728912204504
"179",0.00304693821817636
"180",0.000961567275226116
"181",0.000492227263748646
"182",0.00329148024320602
"183",0.000675651244819164
"184",0.000340561382472515
"185",0.0013433862477541
"186",0.00016489066183567
"187",0.000483589246869087
"188",0.000329338945448399
"189",0.0011262483894825
"190",0.000457488931715488
"191",0.00107984524220228
"192",0.00261233653873205
"193",0.000647478736937046
"194",0.000958982855081558
"195",0.000300188548862934
"196",0.000495091080665588
"197",0.00135037116706371
"198",0.000905361957848072
"199",6.76373019814491e-05
"200",5.77419996261597e-06
"201",0.000208150595426559
"202",0.000817794352769852
"203",0.000756862573325634
"204",2.73343175649643e-05
"205",0.000306498259305954
"206",0.00016938429325819
"207",0.00290826428681612
"208",0.0029468210414052
"209",0.000510131940245628
"210",0.000960472971200943
"211",0.000222353264689445
"212",0.00148629769682884
"213",0.00321944244205952
"214",0.000196695327758789
"215",0.000727688893675804
"216",0.000310037285089493
"217",0.00058331061154604
"218",7.05476850271225e-06
"219",0.00205505639314651
"220",0.00252090394496918
"221",0.00097113661468029
"222",0.00429882202297449
"223",7.32019543647766e-05
"224",4.20492142438889e-05
"225",0.00100361648947001
"226",0.00106049701571465
"227",0.00338549725711346
"228",0.000749621540307999
"229",0.001884950324893
"230",0.000641844235360622
"231",0.00120394397526979
"232",0.000199675559997559
"233",2.02562659978867e-06
"234",0.00319425016641617
"235",0.000617303885519505
"236",0.00239342916756868
"237",8.69156792759895e-05
"238",0.00114338472485542
"239",0.00166262034326792
"240",0.00151193235069513
"241",0.000360491685569286
"242",0.000460655428469181
"243",0.00188362319022417
"244",1.65076926350594e-05
"245",0.00115730799734592
"246",0.00257785432040691
"247",0.000637187622487545
"248",0.000369641929864883
"249",0.00361548736691475
"250",0.000315997749567032
"251",0.000884663313627243
"252",5.30388206243515e-05
"253",0.000414554961025715
"254",0.000699167139828205
"255",8.87084752321243e-05
"256",0.000558723695576191
"257",0.00123549252748489
"258",0.00145258381962776
"259",0.000113202258944511
"260",0.000754254870116711
"261",0.000431598164141178
"262",0.00116294249892235
"263",0.00411211512982845
"264",0.00137912575155497
"265",0.000136974267661572
"266",0.00110180117189884
"267",0.000249315053224564
"268",0.000290409661829472
"269",0.000804848968982697
"270",0.000831321813166142
"271",0.00121374614536762
"272",0.000720075331628323
"273",0.000482588075101376
"274",2.02096998691559e-05
"275",0.000414671376347542
"276",0.00127151142805815
"277",0.000792578794062138
"278",0.000906595960259438
"279",5.49247488379478e-05
"280",0.00131675042212009
"281",0.000290758907794952
