"","x"
"1",505.615025758743
"2",93.0624082684517
"3",277.068465948105
"4",1402.68821269274
"5",1109.7639799118
"6",2176.38444155455
"7",35.0410118699074
"8",88.3126631379128
"9",267.731957137585
"10",617.816112935543
"11",328.850001096725
"12",175.670720636845
"13",415.253452956676
"14",738.701783120632
"15",1127.80835479498
"16",297.394581139088
"17",454.019755125046
"18",134.552828967571
"19",763.218849897385
"20",2278.4573957324
"21",73.6676156520844
"22",1165.57348519564
"23",293.855555355549
"24",21.8860805034637
"25",248.383730649948
"26",846.921466290951
"27",795.163214206696
"28",414.88092392683
"29",980.054028332233
"30",1079.98494058847
"31",131.200067698956
"32",581.401400268078
"33",421.912409365177
"34",649.597495794296
"35",239.74571377039
"36",273.226760327816
"37",205.892138183117
"38",374.205410480499
"39",183.563679456711
"40",1392.56007969379
"41",889.645889401436
"42",3105.14587908983
"43",246.916897594929
"44",2094.84715014696
"45",2793.64176094532
"46",2582.32466876507
"47",3480.4455935955
"48",986.550003290176
"49",590.411946177483
"50",1868.79187822342
"51",575.091689825058
"52",3287.61525452137
"53",851.36853158474
"54",1926.83655768633
"55",1732.77221620083
"56",233.994796872139
"57",2426.72394961119
"58",585.918314754963
"59",2361.48480325937
"60",962.545163929462
"61",324.93844628334
"62",1016.21262729168
"63",189.2214640975
"64",732.182525098324
"65",1306.48259073496
"66",63.8287959834706
"67",2186.94503621849
"68",376.92952901125
"69",1517.35730469227
"70",884.77972894907
"71",814.092345535755
"72",89.6863639354706
"73",671.78625613451
"74",422.424636781216
"75",8.98726284503937
"76",1534.21424329281
"77",397.698022425175
"78",7.28759914636612
"79",909.040682017803
"80",67.148357629776
"81",1613.21368068457
"82",804.616138339043
"83",498.164445161819
"84",65.0994479656219
"85",710.203312337399
"86",2166.90823435783
"87",1186.9240552187
"88",1037.33036667109
"89",3753.36967408657
"90",716.466456651688
"91",1706.97458088398
"92",1247.39017337561
"93",2152.9383957386
"94",1169.8342859745
"95",1705.50774782896
"96",487.267971038818
"97",231.643207371235
"98",785.687007009983
"99",1100.10150820017
"100",408.710911870003
"101",1512.28159666061
"102",60.8153641223907
"103",785.50074249506
"104",175.158493220806
"105",1338.56665343046
"106",592.926517128944
"107",147.894024848938
"108",2402.36986428499
"109",2777.46003121138
"110",190.362334251404
"111",854.255631566048
"112",747.409649193287
"113",2317.50309467316
"114",40.3029844164848
"115",1195.07312774658
"116",48.2890754938126
"117",793.673098087311
"118",273.343175649643
"119",521.517358720303
"120",235.741026699543
"121",1505.27339428663
"122",1954.17087525129
"123",296.439975500107
"124",1393.93378049135
"125",481.097958981991
"126",2057.54768103361
"127",79.2555510997772
"128",1427.20527946949
"129",375.369563698769
"130",64.4009560346603
"131",146.846286952496
"132",691.879540681839
"133",1552.70099639893
"134",217.696651816368
"135",1163.57114166021
"136",284.030102193356
"137",1536.33300215006
"138",584.172084927559
"139",489.992089569569
"140",1005.22302091122
"141",235.112383961678
"142",197.254121303558
"143",4014.11671191454
"144",309.478491544724
"145",1368.83463710546
"146",2069.70144063234
"147",339.257530868053
"148",177.044421434402
"149",949.157401919365
"150",188.0107447505
"151",68.1960955262184
"152",2488.02825808525
"153",175.763852894306
"154",218.581408262253
"155",4639.10400867462
"156",129.197724163532
"157",222.073867917061
"158",386.545434594154
"159",976.84096544981
"160",1128.46028059721
"161",635.557807981968
"162",307.010486721992
"163",1394.28302645683
"164",1214.00225907564
"165",861.077569425106
"166",723.102129995823
"167",309.990718960762
"168",1956.73201233149
"169",311.876647174358
"170",915.955752134323
"171",1971.95913642645
"172",1005.82838058472
"173",340.957194566727
"174",252.272002398968
"175",573.950819671154
"176",896.770507097244
"177",420.375727117062
"178",3219.1164791584
"179",2062.0645955205
"180",170.59501260519
"181",2284.74382311106
"182",58.3939254283905
"183",2306.58333748579
"184",46.8222424387932
"185",236.555933952332
"186",860.984437167645
"187",774.418003857136
"188",53.4579157829285
"189",60.5592504143715
"190",68.4056431055069
"191",426.545739173889
"192",276.300124824047
"193",117.835588753223
"194",2147.09434658289
"195",88.4523615241051
"196",4003.56948375702
"197",658.980570733547
"198",2144.04426515102
"199",1865.22956937551
"200",508.199445903301
"201",2203.3229470253
"202",72.4568963050842
"203",698.002986609936
"204",665.313564240932
"205",57.7419996261597
"206",88.5222107172012
"207",2451.59026235342
"208",542.378984391689
"209",5724.21122342348
"210",1331.23248815536
"211",1121.3356629014
"212",2526.95754170418
"213",1224.31665658951
"214",4413.81707787514
"215",0.0436970251903404
"216",3010.85233751356
"217",626.337714493275
"218",520.353205502033
"219",289.967283606529
"220",1080.66014945507
"221",1541.54840856791
"222",1177.79709398746
"223",120.187178254128
"224",92.0379534363747
"225",556.791201233864
"226",634.300522506237
"227",1508.02079588175
"228",1566.22845679522
"229",785.756856203079
"230",2635.24707406759
"231",310.293398797512
"232",694.557093083858
"233",5079.03750985861
"234",522.611662745476
"235",1006.34060800076
"236",920.682214200497
"237",2177.66501009464
"238",1417.61265695095
"239",1494.95899677277
"240",327.965244650841
"241",3002.23473459482
"242",365.870073437691
"243",573.950819671154
"244",590.994022786617
"245",338.815152645111
"246",690.342858433723
"247",1560.22142618895
"248",288.337469100952
"249",2186.93166971207
"250",380.282290279865
"251",1036.67844086885
"252",131.106935441494
"253",1435.95971167088
"254",1282.61744976044
"255",215.624459087849
"256",1466.01814776659
"257",1688.4645447135
"258",2916.52977466583
"259",734.510831534863
"260",2102.11146622896
"261",1576.00734382868
"262",614.137388765812
"263",338.279642164707
"264",44.3309545516968
"265",3.63215804100037
"266",800.588168203831
"267",3583.42658728361
"268",3464.26386386156
"269",480.376183986664
"270",164.704397320747
"271",476.86044126749
"272",159.488990902901
"273",731.34433478117
"274",259.140506386757
"275",1414.44616019726
"276",4102.49922424555
"277",1378.82307171822
"278",7.66012817621231
"279",167.102552950382
"280",617.583282291889
"281",3208.56925100088
"282",1060.40388345718
"283",676.140189170837
"284",1291.37188196182
"285",534.672290086746
"286",1163.12876343727
"287",33.0386683344841
"288",665.895640850067
"289",1045.17675936222
"290",171.619467437267
"291",4042.1960875392
"292",1315.46985358
"293",99.4419679045677
"294",1136.32995635271
"295",951.183028519154
"296",478.93263399601
"297",1182.40714073181
"298",1043.91947388649
"299",1225.41096061468
"300",1360.40616780519
"301",1624.01702255011
"302",570.015981793404
"303",826.036557555199
"304",327.033922076225
"305",1139.42660391331
"306",180.23420125246
"307",1516.75194501877
"308",118.673779070377
"309",1078.93720269203
"310",2389.84357565641
"311",1740.73502421379
"312",1920.43371498585
"313",765.430741012096
"314",1591.60699695349
"315",350.526534020901
"316",290.852040052414
"317",777.142122387886
"318",1367.41437017918
"319",65.285712480545
"320",4452.7230784297
"321",46.2634488940239
"322",511.528924107552
"323",4961.34161949158
"324",824.173912405968
"325",415.090471506119
"326",526.942312717438
"327",741.28620326519
"328",1174.00195449591
"329",694.720074534416
"330",1071.37020677328
"331",131.153501570225
"332",1666.46204888821
"333",355.788506567478
"334",556.674785912037
"335",759.027898311615
"336",2593.15129369497
"337",1778.66313606501
"338",124.750658869743
"339",597.327016294003
"340",510.201789438725
"341",488.036312162876
"342",1.00117176771164
"343",111.176632344723
"344",3597.023896873
"345",1974.6134057641
"346",330.503098666668
"347",727.036967873573
"348",80.7689502835274
"349",1761.55008375645
"350",620.982609689236
"351",82.2590664029121
"352",366.661697626114
"353",1282.92012959719
"354",1053.88462543488
"355",260.886736214161
"356",420.957803726196
"357",2293.24214160442
"358",451.831147074699
"359",57.9515472054482
"360",176.741741597652
"361",940.379686653614
"362",243.750400841236
"363",75.2042979001999
"364",589.06152844429
"365",268.96595954895
"366",794.185325503349
"367",337.55786716938
"368",638.398341834545
"369",167.754478752613
"370",818.399712443352
"371",119.023025035858
"372",1354.23615574837
"373",2071.26140594482
"374",416.69700294733
"375",510.52775233984
"376",2462.02107518911
"377",45.6348061561584
"378",2037.61737793684
"379",178.534537553787
"380",1788.4187400341
"381",351.504422724247
"382",609.084963798523
"383",586.779788136482
"384",2106.44211620092
"385",367.965549230576
"386",979.471951723099
"387",1855.1480025053
"388",70.1285898685455
"389",316.626392304897
"390",2058.64198505878
"391",96.6247171163559
"392",247.755087912083
"393",597.164034843445
"394",22.9571014642715
"395",1263.96771520376
"396",3228.61596941948
"397",3199.44228976965
"398",445.311889052391
"399",310.922041535378
"400",2.49128788709641
"401",1496.54224514961
"402",3.65544110536575
"403",140.396878123283
"404",1118.9840734005
"405",809.505581855774
"406",334.880314767361
"407",3525.10251104832
"408",1682.99302458763
"409",348.710455000401
"410",769.481994211674
"411",258.255749940872
"412",164.168886840343
"413",140.490010380745
"414",1899.01329576969
"415",360.794365406036
"416",22.8872522711754
"417",1275.14358609915
"418",9.12696123123169
"419",350.666232407093
"420",169.570557773113
"421",1136.79561764002
"422",411.458313465118
"423",1295.58611661196
"424",600.935891270638
"425",224.891118705273
"426",229.058787226677
"427",491.645187139511
"428",1006.06121122837
"429",697.188079357147
"430",151.596032083035
"431",527.803786098957
